date,hmax,hmin,weather,wind_direction,wind_strength
2016-01-01,21,12,晴~多云,西北风,小于3级
2016-01-02,22,15,多云~阴,西北风,小于3级
2016-01-03,24,18,阴,东北风,小于3级
2016-01-04,24,18,小雨,东南风,小于3级
2016-01-05,22,16,中到大雨~小雨,东北风,小于3级
2016-01-06,24,12,晴~多云,东北风,小于3级
2016-01-07,20,13,多云,西北风,小于3级
2016-01-08,21,14,多云,西北风,小于3级
2016-01-09,19,14,多云~阴,东南风,小于3级
2016-01-10,19,13,小到中雨~中到大雨,东北风,小于3级
2016-01-11,17,11,多云,西北风,小于3级
2016-01-12,17,12,阴,东北风,小于3级
2016-01-13,18,10,多云,西北风,小于3级
2016-01-14,17,12,阴~小到中雨,东北风,小于3级
2016-01-15,14,12,中雨~小到中雨,东北风,小于3级
2016-01-16,15,12,小雨~中雨,东北风,小于3级
2016-01-17,16,9,小雨~多云,西北风,小于3级
2016-01-18,19,10,晴~多云,西北风,小于3级
2016-01-19,17,12,多云~小雨,西北风,小于3级
2016-01-20,15,12,小雨,西北风,小于3级
2016-01-21,14,10,小到中雨,西北风,小于3级
2016-01-22,9,4,小到中雨~小雨,东北风,小于3级
2016-01-23,6,2,阴,东北风,小于3级
2016-01-24,6,0,小雨~多云,东北风,小于3级
2016-01-25,9,2,多云,西北风,小于3级
2016-01-26,11,9,小雨~中到大雨,西北风,小于3级
2016-01-27,10,6,中到大雨,西北风,小于3级
2016-01-28,14,10,大到暴雨,东北风,小于3级
2016-01-29,18,11,小雨~阴,西北风,小于3级
2016-01-30,18,11,多云~阴,东北风,小于3级
2016-01-31,15,8,小雨~中到大雨,东北风,小于3级
2016-02-01,9,7,中雨~小雨,西北风,小于3级
2016-02-02,10,6,小雨~阴,东北风,小于3级
2016-02-03,13,7,阴,西北风,小于3级
2016-02-04,15,8,阴~多云,东北风,小于3级
2016-02-05,16,7,多云~晴,东北风,小于3级
2016-02-06,16,6,晴,西北风,小于3级
2016-02-07,17,5,晴,西北风,小于3级
2016-02-08,20,6,晴~多云,西北风,小于3级
2016-02-09,22,7,晴~多云,西北风,小于3级
2016-02-10,21,15,小雨,东北风,小于3级
2016-02-11,22,17,小雨,东南风,小于3级
2016-02-12,24,20,小雨,东南风,小于3级
2016-02-13,27,17,阴~小雨,东南风,小于3级
2016-02-14,19,8,阴,东北风,小于3级
2016-02-15,12,9,阴,东北风,小于3级
2016-02-16,14,8,阴~多云,西北风,小于3级
2016-02-17,15,11,阴,西北风,小于3级
2016-02-18,16,12,多云~阴,东北风,小于3级
2016-02-19,15,11,小雨~阴,东北风,小于3级
2016-02-20,20,10,多云,西北风,小于3级
2016-02-21,18,14,阴~小雨,东南风,小于3级
2016-02-22,16,11,小雨,西北风,小于3级
2016-02-23,14,10,小雨,东北风,小于3级
2016-02-24,13,10,阴,东北风,小于3级
2016-02-25,14,11,阴,西北风,小于3级
2016-02-26,14,11,阴~多云,东北风,小于3级
2016-02-27,19,9,晴,西北风,小于3级
2016-02-28,21,10,晴,西北风,小于3级
2016-02-29,23,9,晴,西北风,小于3级
2016-03-01,25,11,晴,西南风,小于3级
2016-03-02,24,12,晴,西北风,小于3级
2016-03-03,24,13,晴~多云,西北风,小于3级
2016-03-04,24,16,多云,西北风,小于3级
2016-03-05,24,18,多云,西北风,小于3级
2016-03-06,25,18,多云,东北风,小于3级
2016-03-07,27,18,多云,东南风,小于3级
2016-03-08,25,19,多云,东南风,小于3级
2016-03-09,21,10,大雨,无持续风向,小于3级
2016-03-10,11,8,大雨~小雨,西北风,小于3级
2016-03-11,11,7,阴,东北风,小于3级
2016-03-12,14,9,阴,西北风,小于3级
2016-03-13,14,11,中雨~小雨,西北风,小于3级
2016-03-14,18,12,多云~阴,东南风,小于3级
2016-03-15,17,14,阴,东北风,小于3级
2016-03-16,17,13,小雨,东北风,小于3级
2016-03-17,17,14,小雨,东北风,小于3级
2016-03-18,21,18,小到中雨~小雨,东南风,小于3级
2016-03-19,25,20,小雨~中雨,微风,小于3级
2016-03-20,23,19,中到大雨~大雨,东南风,小于3级
2016-03-21,21,18,大到暴雨~暴雨,东北风,小于3级
2016-03-22,20,18,大雨,西南风,小于3级
2016-03-23,20,14,大到暴雨~大雨,东北风,小于3级
2016-03-24,16,12,中雨~小雨,东北风,小于3级
2016-03-25,18,9,阴~多云,东北风,小于3级
2016-03-26,21,10,晴,西北风,小于3级
2016-03-27,23,10,晴,西北风,小于3级
2016-03-28,23,11,晴~多云,西北风,小于3级
2016-03-29,23,16,多云,西北风,小于3级
2016-03-30,23,18,阴,东北风,小于3级
2016-03-31,25,19,多云,东北风,小于3级
2016-04-01,27,20,阴~多云,东南风,小于3级
2016-04-02,27,20,阴,东南风,小于3级
2016-04-03,26,20,雷阵雨~中到大雨,东南风,小于3级
2016-04-04,24,20,中到大雨~阵雨,西南风,小于3级
2016-04-05,27,21,阴,西南风,小于3级
2016-04-06,27,22,阴,东南风,小于3级
2016-04-07,28,21,雷阵雨,东南风,小于3级
2016-04-08,28,23,多云,东南风,小于3级
2016-04-09,29,22,阵雨~多云,西北风,小于3级
2016-04-10,25,21,中雨~阵雨,东北风,小于3级
2016-04-11,25,21,阴,东南风,小于3级
2016-04-12,25,20,中到大雨,东南风,小于3级
2016-04-13,25,20,阵雨,东南风,小于3级
2016-04-14,27,23,阵雨~多云,东南风,小于3级
2016-04-15,27,22,小雨,东南风,小于3级
2016-04-16,26,23,雷阵雨,东南风,小于3级
2016-04-17,27,19,大雨~大到暴雨,无持续风向,小于3级
2016-04-18,25,19,阵雨~多云,西北风,小于3级
2016-04-19,26,21,多云,东南风,小于3级
2016-04-20,26,21,中雨~大雨,西北风,小于3级
2016-04-21,26,21,中到大雨,东南风,小于3级
2016-04-22,26,22,中到大雨,东南风,小于3级
2016-04-23,26,21,大到暴雨,东北风,小于3级
2016-04-24,26,21,大雨,东北风,小于3级
2016-04-25,29,23,雷阵雨,东南风,小于3级
2016-04-26,28,23,大雨~雷阵雨,微风,小于3级
2016-04-27,30,22,多云,无持续风向,小于3级
2016-04-28,31,22,多云,西北风,小于3级
2016-04-29,29,22,多云,东北风,小于3级
2016-04-30,27,22,雷阵雨~多云,东北风,小于3级
2016-05-01,28,21,多云,东南风,小于3级
2016-05-02,29,23,多云~雷阵雨,东南风,小于3级
2016-05-03,30,24,多云,东南风,小于3级
2016-05-04,30,23,多云,东南风,小于3级
2016-05-05,31,24,雷阵雨,东南风,小于3级
2016-05-06,31,25,雷阵雨,西北风,小于3级
2016-05-07,31,25,多云,东南风,小于3级
2016-05-08,32,25,多云,东南风,小于3级
2016-05-09,32,24,雷阵雨~大到暴雨,东南风,小于3级
2016-05-10,29,23,雷阵雨~阵雨,西北风,小于3级
2016-05-11,31,21,晴,西北风,小于3级
2016-05-12,32,23,多云,微风,小于3级
2016-05-13,31,24,多云,西北风,小于3级
2016-05-14,31,25,多云,东北风,小于3级
2016-05-15,30,20,中到大雨~阴,西北风,小于3级
2016-05-16,27,19,多云,西北风,小于3级
2016-05-17,28,20,多云,东南风,小于3级
2016-05-18,28,23,多云,西南风,小于3级
2016-05-19,29,24,多云,东南风,小于3级
2016-05-20,27,22,暴雨,东南风,小于3级
2016-05-21,27,23,阵雨~多云,东北风,小于3级
2016-05-22,31,23,晴,西北风,小于3级
2016-05-23,31,24,晴~多云,东北风,小于3级
2016-05-24,32,24,多云,东南风,小于3级
2016-05-25,33,26,多云,东南风,小于3级
2016-05-26,33,25,多云~雷阵雨,东北风,小于3级
2016-05-27,31,25,大雨~雷阵雨,东南风,小于3级
2016-05-28,30,25,中雨,东北风,小于3级
2016-05-29,32,26,雷阵雨,西北风,小于3级
2016-05-30,33,26,多云,东南风,小于3级
2016-05-31,35,27,多云,东南风,小于3级
2016-06-01,35,27,晴,东南风,小于3级
2016-06-02,35,27,晴,东南风,小于3级
2016-06-03,35,27,雷阵雨,东北风,小于3级
2016-06-04,35,24,雷阵雨~大雨,西北风,小于3级
2016-06-05,29,24,大到暴雨~中到大雨,西北风,小于3级
2016-06-06,30,24,雷阵雨~多云,东北风,小于3级
2016-06-07,32,25,多云~雷阵雨,微风,小于3级
2016-06-08,31,24,雷阵雨,微风,小于3级
2016-06-09,31,25,雷阵雨,西北风,小于3级
2016-06-10,32,25,雷阵雨,东北风,小于3级
2016-06-11,31,26,大雨,东北风,小于3级
2016-06-12,31,25,大雨~中到大雨,西北风,小于3级
2016-06-13,31,25,中到大雨~雷阵雨,西北风,小于3级
2016-06-14,33,25,大雨~大到暴雨,西北风,小于3级
2016-06-15,33,25,大到暴雨,东北风,小于3级
2016-06-16,31,25,中到大雨~雷阵雨,西南风,小于3级
2016-06-17,32,26,雷阵雨~多云,东北风,小于3级
2016-06-18,34,26,多云~晴,东南风,小于3级
2016-06-19,35,26,晴~多云,西南风,小于3级
2016-06-20,33,26,晴,东南风,小于3级
2016-06-21,35,27,晴,东南风,小于3级
2016-06-22,36,26,多云,东南风,小于3级
2016-06-23,35,27,晴,东南风,小于3级
2016-06-24,35,27,晴~雷阵雨,无持续风向,小于3级
2016-06-25,35,27,多云,东北风,小于3级
2016-06-26,35,28,晴~多云,东南风,小于3级
2016-06-27,36,27,晴~多云,西北风,小于3级
2016-06-28,33,26,雷阵雨,西北风,小于3级
2016-06-29,32,26,雷阵雨,东北风,小于3级
2016-06-30,31,26,中雨~中到大雨,东南风,小于3级
2016-07-01,32,26,中雨~雷阵雨,东南风,小于3级
2016-07-02,32,26,中雨,东南风,小于3级
2016-07-03,33,26,中雨~中到大雨,东南风,小于3级
2016-07-04,32,25,中到大雨,None,小于3级
2016-07-05,33,26,雷阵雨,None,小于3级
2016-07-06,33,26,雷阵雨~多云,None,小于3级
2016-07-07,36,26,晴,None,小于3级
2016-07-08,37,27,晴~多云,None,小于3级
2016-07-09,37,28,多云,None,小于3级
2016-07-10,33,25,中雨,None,小于3级
2016-07-11,33,26,中雨~雷阵雨,None,小于3级
2016-07-12,32,26,雷阵雨,西南风,小于3级
2016-07-13,31,26,雷阵雨,北风,小于3级
2016-07-14,33,26,雷阵雨,东南风,小于3级
2016-07-15,34,26,雷阵雨转多云,东北风,小于3级
2016-07-16,35,27,晴,东风,小于3级
2016-07-17,35,27,晴,东风,小于3级
2016-07-18,35,27,晴转多云,南风,小于3级
2016-07-19,35,27,多云,东南风,小于3级
2016-07-20,35,27,多云,东南风,小于3级
2016-07-21,36,27,晴,南风,小于3级
2016-07-22,36,27,晴,东风,小于3级
2016-07-23,36,27,晴,东南风,小于3级
2016-07-24,36,27,晴,西南风,小于3级
2016-07-25,37,28,晴,南风,小于3级
2016-07-26,36,26,多云,东南风,小于3级
2016-07-27,34,27,雷阵雨,东南风,小于3级
2016-07-28,35,27,多云,西风,小于3级
2016-07-29,36,27,晴,南风,小于3级
2016-07-30,37,28,晴,西北风,小于3级
2016-07-31,37,27,雷阵雨,南风,小于3级
2016-08-01,35,25,雷阵雨,微风,微风
2016-08-02,29,25,大暴雨,微风,1级
2016-08-03,31,25,雷阵雨,东风,1级
2016-08-04,32,26,多云,东南风,2级
2016-08-05,34,26,多云,北风,1级
2016-08-06,35,27,晴,东北风,1级
2016-08-07,36,27,晴,东风,1级
2016-08-08,35,27,雷阵雨,东北风,1级
2016-08-09,34,25,雷阵雨,北风,2级
2016-08-10,31,26,中到大雨,北风,1级
2016-08-11,32,26,雷阵雨,西南风,1级
2016-08-12,30,26,大雨,东北风,1级
2016-08-13,32,25,雷阵雨,东北风,1级
2016-08-14,32,26,中雨,南风,1级
2016-08-15,31,25,大雨,南风,微风
2016-08-16,31,25,大雨,东风,1级
2016-08-17,31,25,雷阵雨,东南风,2级
2016-08-18,30,25,大雨,东风,2级
2016-08-19,32,26,雷阵雨,东南风,1级
2016-08-20,34,26,多云,西南风,微风
2016-08-21,35,27,雷阵雨,南风,2级
2016-08-22,35,27,多云,东南风,2级
2016-08-23,35,27,多云,西风,微风
2016-08-24,36,28,多云,东北风,1级
2016-08-25,36,27,多云,东北风,1级
2016-08-26,35,25,雷阵雨,北风,1级
2016-08-27,32,24,雷阵雨,东北风,2级
2016-08-28,33,26,多云,东北风,2级
2016-08-29,33,26,晴,东北风,2级
2016-08-30,32,25,多云,西南风,1级
2016-08-31,33,25,雷阵雨,东风,1级
2016-09-01,32,25,中到大雨,北风,1级
2016-09-02,31,25,中到大雨,东南风,1级
2016-09-03,31,25,中雨,东南风,1级
2016-09-04,31,26,雷阵雨,东风,1级
2016-09-05,32,26,雷阵雨,东风,2级
2016-09-06,33,26,雷阵雨,东北风,1级
2016-09-07,31,25,中雨,西风,1级
2016-09-08,32,26,雷阵雨,东北风,1级
2016-09-09,32,26,雷阵雨,东风,1级
2016-09-10,30,25,大雨,东北风,1级
2016-09-11,30,25,小到中雨,南风,1级
2016-09-12,33,24,多云,北风,1级
2016-09-13,35,26,多云,东北风,1级
2016-09-14,35,26,多云,东北风,1级
2016-09-15,34,25,晴,北风,1级
2016-09-16,34,25,晴,东北风,2级
2016-09-17,34,25,晴,东北风,1级
2016-09-18,33,25,晴,北风,2级
2016-09-19,32,23,晴,北风,2级
2016-09-20,31,24,多云,东风,1级
2016-09-21,31,24,多云,北风,1级
2016-09-22,32,24,晴,西南风,1级
2016-09-23,32,25,晴,南风,1级
2016-09-24,32,25,多云,东南风,1级
2016-09-25,33,26,多云,西北风,1级
2016-09-26,34,26,多云,东北风,1级
2016-09-27,35,27,多云,南风,1级
2016-09-28,34,28,多云,南风,2级
2016-09-29,28,21,阵雨,东风,1级
2016-09-30,26,20,阵雨,北风,1级
2016-10-01,28,20,阵雨,东风,1级
2016-10-02,31,23,多云,西风,1级
2016-10-03,33,24,多云,南风,微风
2016-10-04,32,24,多云,东风,1级
2016-10-05,33,23,多云,北风,1级
2016-10-06,32,25,多云,东北风,1级
2016-10-07,31,25,多云,北风,1级
2016-10-08,31,24,雷阵雨,东北风,2级
2016-10-09,30,22,多云,东北风,2级
2016-10-10,30,22,多云,北风,2级
2016-10-11,28,21,小雨,北风,2级
2016-10-12,25,20,小到中雨,东北风,2级
2016-10-13,28,22,多云,东北风,1级
